ICD9dx,CCS Category,CCS Category Description
'64400','184  ','Early labor'
'64403','184  ','Early labor'
'64410','184  ','Early labor'
'64413','184  ','Early labor'
'64420','184  ','Early labor'
'64421','184  ','Early labor'
'64500','185  ','Long pregncy'
'64501','185  ','Long pregncy'
'64503','185  ','Long pregncy'
'64510','185  ','Long pregncy'
'64511','185  ','Long pregncy'
'64513','185  ','Long pregncy'
'64520','185  ','Long pregncy'
'64521','185  ','Long pregncy'
'64523','185  ','Long pregncy'
'64800','186  ','DM in preg'
'64801','186  ','DM in preg'
'64802','186  ','DM in preg'
'64803','186  ','DM in preg'
'64804','186  ','DM in preg'
'64880','186  ','DM in preg'
'64881','186  ','DM in preg'
'64882','186  ','DM in preg'
'64883','186  ','DM in preg'
'64884','186  ','DM in preg'
'65200','187  ','Malposition'
'65201','187  ','Malposition'
'65203','187  ','Malposition'
'65210','187  ','Malposition'
'65211','187  ','Malposition'
'65213','187  ','Malposition'
'65220','187  ','Malposition'
'65221','187  ','Malposition'
'65223','187  ','Malposition'
'65230','187  ','Malposition'
'65231','187  ','Malposition'
'65233','187  ','Malposition'
'65240','187  ','Malposition'
'65241','187  ','Malposition'
'65243','187  ','Malposition'
'65250','187  ','Malposition'
'65251','187  ','Malposition'
'65253','187  ','Malposition'
'65260','187  ','Malposition'
'65261','187  ','Malposition'
'65263','187  ','Malposition'
'65270','187  ','Malposition'
'65271','187  ','Malposition'
'65273','187  ','Malposition'
'65280','187  ','Malposition'
'65281','187  ','Malposition'
'65283','187  ','Malposition'
'65290','187  ','Malposition'
'65291','187  ','Malposition'
'65293','187  ','Malposition'
'66000','187  ','Malposition'
'66001','187  ','Malposition'
'66003','187  ','Malposition'
'65300','188  ','Pelvic obstr'
'65301','188  ','Pelvic obstr'
'65303','188  ','Pelvic obstr'
'65310','188  ','Pelvic obstr'
'65311','188  ','Pelvic obstr'
'65313','188  ','Pelvic obstr'
'65320','188  ','Pelvic obstr'
'65321','188  ','Pelvic obstr'
'65323','188  ','Pelvic obstr'
'65330','188  ','Pelvic obstr'
'65331','188  ','Pelvic obstr'
'65333','188  ','Pelvic obstr'
'65340','188  ','Pelvic obstr'
'65341','188  ','Pelvic obstr'
'65343','188  ','Pelvic obstr'
'65350','188  ','Pelvic obstr'
'65351','188  ','Pelvic obstr'
'65353','188  ','Pelvic obstr'
'65360','188  ','Pelvic obstr'
'65361','188  ','Pelvic obstr'
